ProductName,Specification,Price,Unit,Category,Keywords
农场素食散养走地萨松母鸡,只,23.99,只,禽类产品,
农场新鲜童子公鸡,只,23,2只,禽类产品,
端午特价农场土鸡蛋,版,29,2版,蛋类,
大师傅新鲜做好吃的：谭头水饺,袋,25,袋,美味熟食/面点,
新鲜做红糟肉笋饼 ,个,15,4个,新鲜蔬菜,
新鲜做柠檬泡椒风爪,包,29.99,2包,美味熟食/面点,
香糟肉光饼,个,15,4个,美味熟食/面点,
爆汁小籠包子,25个,20,包,美味熟食/面点,
手工花卷,15个,21,包,美味熟食/面点,
拇指生煎包,50个,21,包,美味熟食/面点,
手包肉打皮燕丸,0.8磅,15.5,包,美味熟食/面点,
北京口味咸火燒,5个,10,份,美味熟食/面点,
北京口味甜火烧,5个,10,份,美味熟食/面点,
手工皮蛋鲜肉馄炖,12个/盒,18,2盒,面点,
手工鲜肉馄炖,12个/盒,18,盒,面点,
新鮮做筋道意大利面,LB,9.8,2LB,美味熟食/面点,
新鲜插蛏,2盒,26,2盒,禽类产品,
好鸭爽鸭血,5盒,10,5盒,禽类产品,
深海螺片,包,26,包,海鲜河鲜,
鸦片鱼头,5磅左右,42,5磅左右,海鲜河鲜,
台湾香肠,2包,22,2包,美味熟食/面点,
锁鲜炖文蛤,2盒,22,2盒,海鲜河鲜,
好吃咸晒鲜黄花鱼片,包,26,包,海鲜河鲜,
水晶蝦餃,版,7.99,版,美味熟食/面点,
农场青江菜,2lb左右,5.99,2lb左右,新鲜蔬菜,
农场嫩西兰花苔Broccolini,3把,9,3把,新鲜蔬菜,
农场新鲜平菇 ,3磅,23,3磅,新鲜蔬菜,
日本贝贝南瓜,箱,38,箱,海鲜河鲜,
巴西姜,3磅左右,6.99,3磅左右,时令水果,
茭白,2磅,25,2磅,时令水果,
新鲜花生,5磅,19,5磅,新鲜蔬菜,
新鲜农场玉米,箱,30,箱,新鲜蔬菜,
Olivia 农场有机嫩菠菜叶,3盒,8.99,3盒,新鲜蔬菜,
台灣香瓜,箱,69,箱,时令水果,
新鲜山楂,3磅,42,3磅,时令水果,
红心芭乐,5lb,36,5lb,时令水果,
甜大红石榴,箱,30,箱,时令水果,
彩色金丝芒,箱,65,箱,时令水果,
越南龙眼,箱,59,箱,时令水果,
甜哈密瓜,3个,18.99,3个,新鲜蔬菜,
韩国香瓜,6个,18,6个,时令水果,
天花板金色奇异果,箱,48,箱,时令水果,
新鲜墨西哥山竹,15磅连箱,160,15磅连箱,时令水果,
以色列甜orri 柑,箱,48,箱,时令水果,
爱妃苹果,大箱,60,大箱,时令水果,
白玉桃,箱,55,箱,时令水果,
Sunkist 浓味甜橙,箱,50,箱,时令水果,
红毛丹,箱,30,箱,时令水果,
天花板草莓,箱,28,箱,时令水果,
糯米荔枝,10lb连箱,200,10lb连箱,时令水果,
天花板凤梨,箱,35,箱,时令水果,
甜cotton candy 葡萄,箱,50,箱,时令水果,
大王中王,包,6.99,包,优选干货,
甘蔗马蹄饮,5根,25,5根,优选干货,
傻小胖糯玉米,3包x400g,11.99,3包x400g,新鲜蔬菜,
双黄海鸭蛋,盒,39,盒,蛋类,
七彩菌菇包,2包,10,2包,新鲜蔬菜,
威州5年参须,磅,19,磅,优选干货,
纸皮核桃,盒,21,盒,时令水果,
农家黑笋丝,磅,16,磅,新鲜蔬菜,
